id,entry_time
0,0
1,0
2,0
3,0
4,0
5,0
6,1
7,1
8,1
9,1
10,1
11,2
12,2
13,2
14,2
15,2
16,3
17,3
18,3
19,3
20,3
21,3
22,3
23,3
24,3
25,4
26,4
27,4
28,4
29,4
30,4
31,4
32,4
33,4
34,4
35,4
36,4
37,5
38,5
39,5
40,5
41,6
42,6
43,6
44,6
45,6
46,6
47,6
48,6
49,6
50,6
51,6
52,7
53,7
54,7
55,7
56,7
57,7
58,7
59,7
60,8
61,8
62,8
63,8
64,8
65,8
66,8
67,8
68,8
69,8
70,8
71,8
72,8
73,9
74,9
75,9
76,9
77,9
78,9
79,9
80,9
81,9
82,9
83,9
84,9
85,9
86,10
87,10
88,10
89,10
90,10
91,10
92,10
93,10
94,10
95,10
96,10
97,10
98,11
99,11
100,11
101,11
102,11
103,11
104,11
105,11
106,11
107,11
108,12
109,12
110,12
111,12
112,12
113,12
114,12
115,12
116,12
117,12
118,12
119,13
120,13
121,13
122,13
123,13
124,13
125,13
126,13
127,13
128,13
129,13
130,13
131,13
132,13
133,13
134,13
135,14
136,14
137,14
138,14
139,14
140,14
141,14
142,14
143,14
144,14
145,14
146,14
147,14
148,14
149,14
150,15
151,15
152,15
153,15
154,15
155,15
156,15
157,15
158,15
159,15
160,15
161,15
162,15
163,15
164,16
165,16
166,16
167,16
168,16
169,16
170,16
171,16
172,16
173,16
174,16
175,16
176,17
177,17
178,17
179,17
180,17
181,17
182,17
183,17
184,17
185,17
186,18
187,18
188,18
189,18
190,18
191,18
192,18
193,18
194,18
195,19
196,19
197,19
198,19
199,19
200,19
201,19
202,19
203,19
204,19
205,20
206,20
207,20
208,20
209,20
210,20
211,20
212,20
213,20
214,20
215,20
216,20
217,20
218,20
219,20
220,20
221,20
222,20
223,20
224,20
225,21
226,21
227,21
228,21
229,21
230,21
231,21
232,21
233,21
234,21
235,21
236,21
237,22
238,22
239,22
240,22
241,22
242,22
243,22
244,22
245,22
246,22
247,22
248,22
249,23
250,23
251,23
252,23
253,23
254,23
255,23
256,23
257,23
258,23
259,24
260,24
261,24
262,24
263,24
264,24
265,24
266,24
267,24
268,24
269,24
270,24
271,24
272,25
273,25
274,25
275,25
276,25
277,25
278,25
279,25
280,25
281,25
282,25
283,25
284,25
285,25
286,25
287,25
288,25
289,25
290,26
291,26
292,26
293,26
294,26
295,26
296,26
297,26
298,26
299,26
300,26
301,26
302,26
303,26
304,26
305,26
306,26
307,26
308,26
309,27
310,27
311,27
312,27
313,27
314,27
315,27
316,27
317,27
318,27
319,27
320,27
321,27
322,27
323,27
324,28
325,28
326,28
327,28
328,28
329,28
330,28
331,28
332,28
333,29
334,29
335,29
336,29
337,29
338,29
339,29
340,29
341,29
342,29
343,29
344,30
345,30
346,30
347,31
348,31
349,31
350,31
351,31
352,31
353,31
354,31
355,31
356,31
357,32
358,32
359,32
360,32
361,32
362,32
363,32
364,32
365,32
366,32
367,32
368,32
369,32
370,32
371,32
372,32
373,32
374,33
375,33
376,33
377,33
378,33
379,33
380,33
381,34
382,34
383,34
384,34
385,34
386,34
387,35
388,35
389,35
390,35
391,35
392,35
393,35
394,35
395,35
396,35
397,35
398,35
399,35
400,35
401,35
402,35
403,35
404,36
405,36
406,36
407,36
408,36
409,36
410,36
411,36
412,36
413,36
414,36
415,36
416,36
417,37
418,37
419,37
420,37
421,37
422,37
423,37
424,37
425,37
426,37
427,37
428,37
429,37
430,37
431,37
432,37
433,37
434,37
435,37
436,37
437,38
438,38
439,38
440,38
441,38
442,38
443,38
444,38
445,38
446,38
447,38
448,38
449,38
450,38
451,38
452,38
453,38
454,38
455,39
456,39
457,39
458,39
459,39
460,39
461,39
462,39
463,39
464,39
465,39
466,40
467,40
468,40
469,40
470,40
471,40
472,40
473,40
474,40
475,40
476,40
477,41
478,41
479,41
480,41
481,41
482,41
483,41
484,41
485,41
486,42
487,42
488,42
489,42
490,42
491,42
492,42
493,42
494,42
495,42
496,42
497,42
498,42
499,43
500,43
501,43
502,43
503,43
504,43
505,43
506,43
507,43
508,43
509,43
510,43
511,44
512,44
513,44
514,44
515,44
516,44
517,44
518,44
519,44
520,44
521,44
522,44
523,44
524,45
525,45
526,45
527,45
528,45
529,45
530,45
531,45
